t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.7860,0.0000,0.0000,1057.5421,208.9120
0.7880,0.0000,0.0000,1057.5876,206.1784
0.7900,0.0000,0.0000,1057.5561,209.1661
0.7920,0.0000,0.0000,1057.5933,206.4009
0.7940,0.0000,0.0000,1057.5527,209.3724
0.7960,0.0000,0.0000,1057.5939,206.5858
0.7980,0.0000,0.0000,1057.5655,209.5360
0.8000,0.0000,0.0000,1057.6165,206.7380
0.8020,0.0000,0.0000,1057.5689,209.6850
0.8040,0.0000,0.0000,1057.6063,206.8649
0.8060,0.0000,0.0000,1057.5668,209.7949
0.8080,0.0000,0.0000,1057.6298,206.9763
0.8100,0.0000,0.0000,1057.6126,209.9096
0.8120,0.0000,0.0000,1057.6689,207.0754
0.8140,0.0000,0.0000,1057.6406,210.0002
0.8160,0.0000,0.0000,1057.6892,207.1637
0.8180,0.0000,0.0000,1057.6455,210.0872
0.8200,0.0000,0.0000,1057.6832,207.2416
0.8220,0.0000,0.0000,1057.6406,210.1595
0.8240,0.0000,0.0000,1057.6790,207.2660
0.8260,0.0000,0.0000,1055.2802,207.7383
0.8280,0.0000,0.0000,1055.2823,203.1302
0.8300,0.0000,0.0000,1055.2085,208.9906
0.8320,0.0000,0.0000,1055.2226,206.0639
0.8340,0.0000,0.0000,1055.1644,208.8767
0.8360,0.0000,0.0000,1055.1948,206.0540
0.8380,0.0000,0.0000,1055.1596,209.0373
0.8400,0.0000,0.0000,1055.2070,206.2659
0.8420,0.0000,0.0000,1055.1681,209.2591
0.8440,0.0000,0.0000,1055.2113,206.4751
0.8460,0.0000,0.0000,1055.1788,209.4534
0.8480,0.0000,0.0000,1055.2342,206.6510
0.8500,0.0000,0.0000,1055.2040,209.6124
0.8520,0.0000,0.0000,1055.2632,206.7957
0.8540,0.0000,0.0000,1055.2419,209.7560
0.8560,0.0000,0.0000,1055.2822,206.9311
0.8580,0.0000,0.0000,1055.2519,209.8796
0.8600,0.0000,0.0000,1055.2985,207.0436
0.8620,0.0000,0.0000,1055.2585,209.9848
0.8640,0.0000,0.0000,1055.2766,207.1403
0.8660,0.0000,0.0000,1055.2677,210.0722
0.8680,0.0000,0.0000,1055.2857,207.2080
0.8700,0.0000,0.0000,1055.2767,210.1515
0.8720,0.0000,0.0000,1055.3466,207.3022
0.8740,0.0000,0.0000,1055.2660,210.2352
0.8760,0.0000,0.0000,1052.7711,204.4492
0.8780,0.0000,0.0000,1052.7038,207.8000
0.8800,0.0000,0.0000,1052.7230,205.2532
0.8820,0.0000,0.0000,1052.6655,208.4275
0.8840,0.0000,0.0000,1052.6842,205.7534
0.8860,0.0000,0.0000,1052.6411,208.8364
0.8880,0.0000,0.0000,1052.6626,206.0970
0.8900,0.0000,0.0000,1052.6248,209.1299
0.8920,0.0000,0.0000,1052.6567,206.3187
0.8940,0.0000,0.0000,1052.6276,209.3427
0.8960,0.0000,0.0000,1052.6660,206.5470
0.8980,0.0000,0.0000,1052.6508,209.5415
0.9000,0.0000,0.0000,1052.6990,206.7180
0.9020,0.0000,0.0000,1052.6816,209.6974
0.9040,0.0000,0.0000,1052.7073,206.8596
0.9060,0.0000,0.0000,1052.6730,209.8292
0.9080,0.0000,0.0000,1052.7291,206.9808
0.9100,0.0000,0.0000,1052.7176,209.9447
0.9120,0.0000,0.0000,1052.7649,207.0888
0.9140,0.0000,0.0000,1052.7445,210.0465
0.9160,0.0000,0.0000,1052.7736,207.1867
0.9180,0.0000,0.0000,1052.7397,210.1271
0.9200,0.0000,0.0000,1052.7774,207.2683
0.9220,0.0000,0.0000,1052.7478,210.2245
0.9240,0.0000,0.0000,1052.7819,207.3529
0.9260,0.0000,0.0000,1050.0570,207.2232
0.9280,0.0000,0.0000,1050.0298,204.7860
0.9300,0.0000,0.0000,1049.9563,208.0668
0.9320,0.0000,0.0000,1049.9599,205.4421
0.9340,0.0000,0.0000,1049.9008,208.5949
0.9360,0.0000,0.0000,1049.9301,205.8701
